smiles,nucleophilicity
CCC[C:1](=C(CCC)[O-])CC,23.34460092
CC(C)(C)[C:1](=C=[N-])c1ccccc1,20.44450632
CC[C-:1](C(C(C)C)C(C)C)[N+]#N,6.49611119
CCC(C)[CH-:1][N+]#N,9.351525926
CC(C)(C)C[C-:1](CC(C)(C)C)[N+]#N,5.77616058
CCCN(CCC)C(=[O:1])C(C)C,-3.690744867
CCC[C-:1](CC)CCC,39.94899538
C[C:1](=C[O-])C,21.53773297
CCCN(CC)C(=[O:1])c1ccccc1,-1.957287711
CCCC(=[O:1])c1ccccc1,-3.991833379
CC[C-:1](CC)[N+]#N,9.705292069
CC(C)(C)[C-:1](Cc1ccccc1)[N+]#N,7.177274948
CCC[N:1](CC)CC(C)C,9.412206016
c1ccc(cc1)CC(=[O:1])O,-4.602085064
CCC(C)[NH-:1],30.00608805
CC(C)[NH:1]C(C)(C)C,8.740937467
CC(C)[CH-:1]C(C)C,40.12646588
[C-:1]#[N+]C(C)(C)CC,9.553407966
[C:1](C2=CC=CC=C2)(C#N)=C=[N-],8.482177731
CCN(C(C)C)C(=[O:1])c1ccccc1,0.257827043
CCC(C)[O:1]CC,-3.863730592
CC(C)CC(=[O:1])C,-1.77049153
CCC(CC)[C-:1](CC(C)C)[N+]#N,7.374469072
CC(C)[C:1](=[N+]([O-])[O-])C,17.61141927
CCC[C-:1](c1ccccc1)[N+]#N,5.233340506
CC(C)C=[N:1]c1ccccc1,6.562330588
CCC(C)OC(=[O:1])CC,-3.212513636
CC(C)C[NH2:1],10.92256025
CCC(C(C)C)[N-:1]CC(C)C,29.71646274
CC(C)(C)[O:1]Cc1ccccc1,-3.371273316
CCC(C)[C-:1](C(C)CC)[N+]#N,7.78598664
CC[N:1]=C(C)C(C)C,9.538774432
CCC(C)[C:1](=C=[N-])C(CC)C(C)C,22.41595081
CCC(C)C(=[O:1])OC,-3.98396768
CC[C:1](=C=[N-])Cc1ccccc1,25.751773
CCC(C)[C:1](=[N+]([O-])[O-])C(C)CC,16.46957891
CC(C)[N-:1]C(C)C,30.88403102
CC[N-:1]C(C)(C)C,29.82397918
CCC[C-:1](CC)CC(C)C,42.32381113
CCC(CC)[C:1](=C=[N-])CC(C)(C)C,24.32046886
CC(C)(C)[C:1](=[N+]([O-])[O-])C(C)(C)C,16.7707933
CCCN(C(C)C)C(=[O:1])C(C)C,-0.817122504
C[C-:1](c1ccccc1)[N+]#N,5.170107476
CCC[C:1](=C(C)[O-])C(C)C,20.99910307
CC[C-:1](C)C(C)(C)C,40.57640054
[CH3-:1],35.90496842
CCC(C)[C:1](=[N+]([O-])[O-])CC(C)C,16.66088046
CC[C:1](=C(C)[O-])C,23.46545278
CCCC(=[O:1])OCC(C)(C)C,-2.92242687
CCC[C:1](=[N+]([O-])[O-])C(C)(C)C,16.4635825
CC[C-:1](CC)CC,39.86113479
CCC(=[N:1]CC)C(C)C,10.53943548
CCCC=[N:1]CCC,9.894770119
